type,A,B,n_pairs,min,median,mean,max
within,horse_lords,horse_lords,1176,0.42982137255982994,0.8166094869892464,0.7848633600760854,0.9785183630647903
between,horse_lords,pike_lords,2401,0.3756112893816517,0.6440819497360597,0.6253655277298551,0.729711315034767
between,horse_lords,archer_lords,2401,0.4187986085367171,0.6521020904708642,0.6382618273851856,0.7231919729888485
between,horse_lords,horse_hunters,2401,0.44330993593647144,0.7116157351273265,0.6983717222857116,0.7993337036604177
between,horse_lords,pike_hunters,2401,0.4244708597718391,0.6412343711060726,0.6258337233224996,0.7171180075743881
between,horse_lords,archer_hunters,2401,0.40185018652836313,0.6625895834099736,0.6462144381751171,0.7231983261012979
between,horse_lords,generalists,2401,0.40171549424616065,0.683441232471914,0.6617586667370379,0.8270473374159473
within,pike_lords,pike_lords,1176,0.4237094193657826,0.8212315828123276,0.7821477302772714,0.9938587010324657
between,pike_lords,archer_lords,2401,0.3959364466314703,0.6572564802547832,0.6426838841382392,0.7567455689495816
between,pike_lords,horse_hunters,2401,0.4310867995953602,0.654019557509261,0.6427282439985157,0.7307995653419386
between,pike_lords,pike_hunters,2401,0.42563853258906076,0.6622679980524774,0.6444605723462836,0.75195005162035
between,pike_lords,archer_hunters,2401,0.3745588404871398,0.657042701216248,0.6414055535463865,0.7551146306311384
between,pike_lords,generalists,2401,0.3769865668286963,0.6492767891465802,0.6289568563397876,0.7640614683192383
within,archer_lords,archer_lords,1176,0.38744714041874856,0.7566304042890504,0.744923972104774,0.9944095878716691
between,archer_lords,horse_hunters,2401,0.4200460961171341,0.6641293415681303,0.6572462598123412,0.7496189684987592
between,archer_lords,pike_hunters,2401,0.42415164149366763,0.7467068541733327,0.7307266734321973,0.9557942637483025
between,archer_lords,archer_hunters,2401,0.3956471248986606,0.7375762737999106,0.7234152128550257,0.889952208972589
between,archer_lords,generalists,2401,0.3972743557986212,0.6778629314168174,0.669368358970431,0.9747861448511211
within,horse_hunters,horse_hunters,1176,0.6476338046754434,0.8287683058194912,0.8246975341898253,0.9838504788932527
between,horse_hunters,pike_hunters,2401,0.4781128260845048,0.6645678879832964,0.653705263118958,0.740894964498841
between,horse_hunters,archer_hunters,2401,0.4326168394263544,0.6686668163556754,0.6592180549969815,0.7480356288034947
between,horse_hunters,generalists,2401,0.4011553056010708,0.7092332779782586,0.6914251068826986,0.8326505027096441
within,pike_hunters,pike_hunters,1176,0.5218981810943023,0.8331508372523722,0.8038714439893112,0.9887160605323905
between,pike_hunters,archer_hunters,2401,0.4054286889288702,0.7362844081753092,0.7158841299211556,0.8604018244066204
between,pike_hunters,generalists,2401,0.3931592919664185,0.6731291321676187,0.6653302886086262,0.8951735132684556
within,archer_hunters,archer_hunters,1176,0.45449009572474725,0.7878090579550923,0.7691281796647921,0.9960407888458203
between,archer_hunters,generalists,2401,0.3754762623816191,0.6884807279122206,0.6776845558971087,0.9230190888033857
within,generalists,generalists,1176,0.3963600220482579,0.714894071243205,0.6926068770352631,0.9592747793301719
