gameIndex,stage,redIndex,blueIndex,redId,outcome,blueId,winner,round,redScore,blueScore,redP,redA,redC,blueP,blueA,blueC,redPokes,bluePokes,redKillByP,redKillByA,redKillByC,blueKillByP,blueKillByA,blueKillByC,redVictimP,redVictimA,redVictimC,blueVictimP,blueVictimA,blueVictimC
0,stage1_core,0,147,REACHR27_HL_G02,elimination,REACHR19_HH_L08,B,17,-0.0789473684210526,1.0789473684210529,0,0,9,0,1,8,1,2,1,1,3,3,1,7,0,2,3,1,1,9
1,stage1_core,147,0,REACHR19_HH_L08,elimination,REACHR27_HL_G02,R,13,1.1842105263157894,-0.1842105263157894,0,1,6,0,0,6,2,0,2,2,5,0,2,2,1,1,7,0,2,2
10,stage1_core,0,152,REACHR27_HL_G02,draw,REACHR26_HH_G08,,20,0.0,0.0,0,0,10,0,10,0,0,0,0,3,8,0,9,1,1,9,1,1,0,9
47,stage1_core,170,0,REACHR29_HH_G10,draw,REACHR27_HL_G02,,20,0.0,0.0,0,9,1,0,0,10,0,0,2,9,0,0,0,9,1,1,9,0,8,1
127,stage1_core,161,1,REACHR29_HH_G01,draw,REACHR27_HL_G08,,20,0.0,0.0,0,10,0,0,0,10,0,0,0,7,1,0,1,9,0,0,8,1,9,0
134,stage1_core,1,165,REACHR27_HL_G08,draw,REACHR29_HH_G05,,20,0.0,0.0,0,0,10,0,2,8,0,0,0,1,7,1,3,4,0,3,5,1,0,7
187,stage1_core,191,1,REACHR29_HH_L21,draw,REACHR27_HL_G08,,20,0.0,0.0,0,9,1,0,0,10,0,0,0,9,2,0,3,8,1,1,9,1,9,1
214,stage1_core,2,156,REACHR20_HL_G08,draw,REACHR28_HH_L11,,20,0.0,0.0,0,0,10,0,10,0,5,6,6,0,5,6,4,1,0,10,1,0,1,10
374,stage1_core,3,187,REACHR27_HL_G07,draw,REACHR29_HH_L17,,20,0.0,0.0,0,0,10,0,8,2,4,6,6,1,4,8,1,2,0,8,3,0,1,10
467,stage1_core,184,4,REACHR29_HH_L14,draw,REACHR27_HL_L02,,20,0.0,0.0,0,1,9,0,0,10,7,4,7,1,2,4,1,7,0,1,9,0,2,10
802,stage1_core,8,156,REACHR25_HL_G03,draw,REACHR28_HH_L11,,20,0.0,0.0,0,0,10,0,10,0,5,6,6,0,5,6,4,1,0,10,1,0,1,10
1221,stage1_core,169,12,REACHR29_HH_G09,draw,REACHR25_HL_G07,,20,0.0,0.0,0,0,10,0,0,10,4,6,4,0,4,7,2,2,0,1,7,0,1,10
1613,stage1_core,169,16,REACHR29_HH_G09,draw,REACHR29_HL_G03,,20,0.0,0.0,0,6,4,6,0,4,7,5,7,1,1,8,1,3,6,1,2,0,7,5
